Dive,Date,Country,Location,Site,Depth,Time,Weight,Type,Coordinates
1,07/02/2019,Mexico,Cozumel,Tikila,8,35,4,,"20.48323910057926, -86.97145578579023"
2,07/02/2019,Mexico,Cozumel,Tikila,8,30,4,,"20.48323910057926, -86.97145578579023"
4,07/03/2019,Mexico,Cozumel,Casablanca,15,35,4,,"20.345389, -87.022903"
3,07/03/2019,Mexico,Cozumel,Palancar Jardines,18,39,4,,"20.336096, -87.027426"
6,07/04/2019,Mexico,Cozumel,Palancar Cuevas,30,40,4,,"20.326843, -87.0302"
5,07/04/2019,Mexico,Cozumel,Tikila,10,35,4,,"20.48323910057926, -86.97145578579023"
8,07/05/2019,Mexico,Cozumel,C53,35,45,4,Wreck,"20.4452, -87.000533"
7,07/05/2019,Mexico,Cozumel,Palancar Jardines,18,40,4,,"20.336096, -87.027426"
9,07/05/2019,Mexico,Cozumel,Paraiso,12,50,4,Night,"20.471888, -86.981463"
11,07/08/2019,Mexico,Cozumel,Dalilah,18,51,4,,"20.345389, -87.022903"
10,07/08/2019,Mexico,Cozumel,Palancar Ladrillos,30,38,4,,"20.320436, -87.027454"
13,07/10/2019,Mexico,Cozumel,Palancar Jardines,18,50,4,,"20.336096, -87.027426"
12,07/10/2019,Mexico,Cozumel,Santa Rosa,25,45,4,,"20.36539, -87.026767"
14,07/11/2019,Mexico,Cozumel,Santa Rosa,32,40,4,,"20.36539, -87.026767"
15,07/11/2019,Mexico,Cozumel,Yucab,18,50,4,,"20.405505, -87.021192"
16,07/16/2019,Australia,Cairns,Hastings Reef,18,45,4,,"-16.517405960537598, 146.0090623589105"
17,07/16/2019,Australia,Cairns,Hastings Reef,18,40,4,,"-16.517405960537598, 146.0090623589105"
18,07/22/2019,Australia,Great Barrier Reef,Cod Hole,18,33,4,,"-14.663867,145.66345"
19,07/22/2019,Australia,Great Barrier Reef,Gotham City,21,33,4,,"-14.74830295247332, 145.6909612160491"
20,07/22/2019,Australia,Great Barrier Reef,Gotham City,17,45,4,Night,"-14.74830295247332, 145.6909612160491"
21,07/23/2019,Australia,Great Barrier Reef,Goggle Gardens,14,45,4,,"-14.859363389463201, 145.7019003140299"
22,07/23/2019,Australia,Great Barrier Reef,Lighthouse Bommie,25,35,4,,"-15.050463,145.705171"
23,07/23/2019,Australia,Great Barrier Reef,Pixie Wall,14,50,4,Night,"-15.065714,145.717874"
26,07/24/2019,Australia,Great Barrier Reef,Flare Point,19,49,4,,"-15.387324371303425, 145.76199754948576"
24,07/24/2019,Australia,Great Barrier Reef,Steve's Bommie,25,49,4,,"-15.501778,145.787972"
25,07/24/2019,Australia,Great Barrier Reef,Steve's Bommie,22,47,4,,"-15.501778,145.787972"
27,07/27/2019,Australia,Great Barrier Reef,North Horn,27,51,4,,"-13.903167,146.64975"
28,07/28/2019,Australia,Great Barrier Reef,Admiralty Anchor,16,49,4,,"-13.882838539436529, 146.54519973512888"
29,07/28/2019,Australia,Great Barrier Reef,False Entrance,28,36,4,,"-13.91236798815223, 146.5451264347071"
30,07/31/2019,Australia,Alva,Yongala,24,35,4,Wreck,"-19.297257904570046, 147.62400050591035"
31,07/31/2019,Australia,Alva,Yongala,23,37,4,Wreck,"-19.297257904570046, 147.62400050591035"
32,11/05/2022,Mexico,Cozumel,Palancar Jardines,25,61,4,,"20.336096, -87.027426"
33,11/05/2022,Mexico,Cozumel,Punta Tunich,20,50,4,,"20.392808,-87.025519"
35,11/06/2022,Mexico,Cozumel,Casablanca,25,50,4,,"20.345389, -87.022903"
34,11/06/2022,Mexico,Cozumel,Palancar Cuevas,30,50,4,,"20.326843, -87.0302"
36,11/07/2022,Mexico,Cozumel,Palancar Wall,30,50,4,,"20.333843,-87.030602"
37,11/07/2022,Mexico,Cozumel,Paraiso,12,65,4,Night,"20.471888, -86.981463"
38,11/08/2022,Mexico,Cozumel,Palancar Ladrillos,30,50,4,,"20.320436, -87.027454"
39,11/08/2022,Mexico,Cozumel,San Clemente,15,50,4,,"20.381702,-87.026289"
42,11/09/2022,Mexico,Cozumel,Palancar Cuevas,30,50,4,,"20.326843, -87.0302"
43,11/09/2022,Mexico,Cozumel,Paraiso,18,55,4,Night,"20.471888, -86.981463"
40,11/09/2022,Mexico,Cozumel,Santa Rosa,30,50,4,,"20.36539, -87.026767"
41,11/09/2022,Mexico,Cozumel,Tormentos,18,55,4,,"20.44075,-87.00465"
46,11/11/2022,Mexico,Tulum,Dos Ojos,13,45,4,Cenote,"20.32536030267276, -87.39125558579126"
45,11/11/2022,Mexico,Tulum,El Pit,30,40,4,Cenote,"20.323432481822234, -87.41007977599192"
44,11/11/2022,Mexico,Tulum,Tajma Ha,14,45,4,Cenote,"20.47418340831588, -87.26855422996694"
